Results claim,Reported value(s),Source file / row,Verification,Action
GSE208747 q30 EC-adjusted lesion vs NAWM: Caveolae_structural,Delta=+0.525; exact P=0.0182; FDR=0.2000,donor_aware_module_contrasts.csv | q30/module_z_ECadj/Caveolae_structural,Verified,Retain
GSE208747 Active vs NAWM: ECM_protease,Delta=+1.418; exact P=0.1000; FDR=0.2750,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/ECM_protease,Verified,Retain
GSE208747 Active vs NAWM: Caveolae_structural,Delta=+1.394; exact P=0.1000; FDR=0.2750,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/Caveolae_structural,Verified,Retain
GSE208747 Active vs NAWM: Adhesion_trafficking,Delta=+1.369; exact P=0.2000; FDR=0.2750,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/Adhesion_trafficking,Verified,Retain
GSE208747 Active vs NAWM: ROS_Src,Delta=+1.219; exact P=0.1000; FDR=0.2750,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/ROS_Src,Verified,Retain
GSE208747 Active vs NAWM: TGF_response,Delta=+0.993; exact P=0.2000; FDR=0.2750,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/TGF_response,Verified,Retain
GSE208747 Active vs NAWM: IFN_antigen_presentation,Delta=+0.755; exact P=0.2000; FDR=0.2750,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/IFN_antigen_presentation,Verified,Retain
GSE208747 Active vs NAWM: PLVAP_permeability,Delta=+0.480; exact P=0.2000; FDR=0.2750,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/PLVAP_permeability,Verified,Retain
GSE208747 Active vs NAWM: Tight_junction,Delta=-0.308; exact P=1.0000; FDR=1.0000,donor_aware_module_contrasts.csv | q30/Active_vs_NAWM/Tight_junction,Verified,Retain
GSE163005 VE vs IIH: IFN/antiviral,Delta=+1.134; exact P=0.00749; FDR=0.05245,whole_CSF_module_contrasts.csv | IFN_antiviral/VE vs IIH,Verified,Retain
GSE163005 VE vs MS: IFN/antiviral,Delta=+1.054; exact P=0.00749; FDR=0.05245,whole_CSF_module_contrasts.csv | IFN_antiviral/VE vs MS,Verified,Retain
GSE163005 VE vs IIH: TNF/NFkB,Delta=+0.739; P=0.01499; FDR=0.05245,whole_CSF_module_contrasts.csv | TNF_NFkB/VE vs IIH,Verified,Retain
GSE163194 acute vs recovery: IL1_IL6,Delta=+2.042; P=0.00280; FDR=0.00979,module_contrasts.csv | WholeCSF/IL1_IL6/Acute_vs_All_recovery,Verified,Retain
GSE163194 acute vs recovery: Chemokine,Delta=+0.857; P=0.00280; FDR=0.00979,module_contrasts.csv | WholeCSF/Chemokine/Acute_vs_All_recovery,Verified,Retain
GSE163194 acute vs recovery: Myeloid_proteolytic,Delta=+1.415; P=0.01958; FDR=0.04569,module_contrasts.csv | WholeCSF/Myeloid_proteolytic/Acute_vs_All_recovery,Verified,Retain
GSE163194 acute vs recovery: IFN_antiviral,Delta=+1.237; P=0.05035; FDR=0.07049,module_contrasts.csv | WholeCSF/IFN_antiviral/Acute_vs_All_recovery,Verified,Retain
GSE163194 acute vs recovery: TNF_NFkB,Delta=+0.726; P=0.05035; FDR=0.07049,module_contrasts.csv | WholeCSF/TNF_NFkB/Acute_vs_All_recovery,Verified,Retain
GSE163194 acute vs recovery: neutrophil fraction,Delta=+0.700; P=0.00280; FDR=0.00629,composition_contrasts.csv | Neutrophil/Acute_vs_All_recovery,Verified,Retain
Overall audit outcome,All numeric values in the compressed Results were traced to source-data tables.,All source tables listed above,Verified,No numeric correction required. Maintain cautious language where FDR >=0.05.
Wording constraint,"Cldn5, Abcg2, Wnt-BBB, IFN/AP and several stage-stratified effects have nominal P<0.05 but FDR>=0.05.",Relevant source rows,Verified,Use decreased/increased/directional; do not call significant.
Wording constraint,BEVAC3 effects are nominal/exact but do not survive module-level FDR correction.,Integrated_BEVAC3_venous_modules.csv,Verified,Use partial/directional transcriptomic normalization only.
Wording constraint,GSE163005 viral IFN effects have FDR=0.0524.,whole_CSF_module_contrasts.csv,Verified,Use strong/consistent trend; avoid 'FDR-significant'.
