gene,mouse_pooled_g,mouse_se,mouse_ci_low,mouse_ci_high,mouse_tau2,mouse_I2,mouse_same_direction_3of3,human_hedges_g,human_var_g,human_ci_low,human_ci_high,human_n_case,human_n_control,source_human_log2FC,source_human_Wald_stat,source_human_p,source_human_FDR,state,prespecified_state_gene,same_direction_mouse_human,human_contrast,interpretation_boundary
B2M,1.6687622089196934,1.0294975167247462,-0.3490529238608093,3.686577341700196,1.9204878866439827,60.54626796602707,True,0.21006694015290156,0.41942467412574186,-1.0592879464416431,1.4794218267474464,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CCL2,1.2171254695193743,0.5388266474073665,0.16102524060093582,2.2732256984378125,0.0,0.0,True,2.5768592439154046,0.8316793893511836,0.7894086733732408,4.3643098144575685,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CXCL10,2.7207607387702266,0.73487095459086,1.280413667772141,4.161107809768312,0.0,0.0,True,0.8973937863287583,0.46699889215050827,-0.44201763070687117,2.236805203364388,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CXCL9,3.883178337143152,1.5714438149982723,0.8031484597465384,6.963208214539765,4.4992160151343725,60.8772423463878,True,0.9562702251403074,0.4738199631347851,-0.39288757525910845,2.3054280255397233,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ICAM1,1.4742713648293437,1.0123195593127599,-0.5098749714236654,3.458417701082353,1.561902489063033,54.44549483410307,True,-0.26874802400874254,0.4211807604422044,-1.5407574615974626,1.0032614135799776,4,6,,,,,Endothelial_immune_activation,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
IFIT1,1.1837378868252284,0.5663496607691706,0.0736925517176541,2.2937832219328027,0.03309601732709794,3.337180037996911,True,-0.0635140784324937,0.41691879405161225,-1.3290713624890764,1.202043205624089,4,6,,,,,Endothelial_immune_activation,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
IFIT2,2.0641773525223632,1.045780816137906,0.014446952892067433,4.1139077521526595,1.6982091789749505,52.980168443323564,True,0.36410278427644294,0.4249523440115328,-0.9135892462045742,1.6417948147574601,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
IFIT3,1.2783929619487338,0.5648832512084763,0.17122178958012024,2.385564134317347,0.0,0.0,True,-0.5576638563860579,0.4361034777116273,-1.852011228607668,0.7366835158355522,4,6,,,,,Endothelial_immune_activation,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
IRF1,1.391168565659539,0.7838951861535862,-0.14526599920148997,2.927603130520568,0.6761170504097698,36.45129520569188,True,0.1178547090868614,0.4175347749450385,-1.1486371351146163,1.384346553288339,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ISG15,1.1743691721571736,0.5438344502530644,0.10845364966116744,2.24028469465318,0.0,0.0,True,0.36886132565201035,0.42517033401427656,-0.9091583749587608,1.6468810262627815,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
SELE,2.031434878548693,0.730617666656153,0.5994242519026329,3.463445505194753,0.2346058243382395,13.012702626857974,True,0.04314511556203343,0.4167830104789705,-1.2222060661484089,1.3084962972724759,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
SELP,2.2129871188339147,1.0159302448180783,0.22176383899048147,4.204210398677348,1.4293758086813109,46.530972811162044,True,1.4381347120688854,0.5459311322952577,-0.010053479370839558,2.8863229035086104,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
STAT1,1.4214155257551484,0.5852709622267624,0.27428443979069406,2.5685466117196025,0.0,0.0,True,-0.18531655400542027,0.4188130557409444,-1.4537455961415628,1.0831124881307224,4,6,,,,,Endothelial_immune_activation,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
STAT3,0.8289186929176422,1.0029466657996189,-1.1368567720496108,2.794694157884895,1.6291350109297207,59.198341759963135,True,-0.4289949278227283,0.4281689571727684,-1.7115134913822998,0.8535236357368432,4,6,,,,,Endothelial_immune_activation,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
TAP1,2.8033850284124098,1.1212465036962,0.6057418811678579,5.001028175656962,1.528062262363139,41.44600490209559,True,1.1363713881427533,0.4973754124035097,-0.24591562412688495,2.5186584004123915,4,6,,,,,Endothelial_immune_activation,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
VCAM1,3.2071102384367154,0.818339002562485,1.6031657934142447,4.8110546834591865,0.0,0.0,True,-0.7318537543323673,0.45014228652481547,-2.0468695747367196,0.5831620660719847,4,6,-2.21403964229673,-3.32696795893948,0.0008779646793734,0.0139917807870759,Endothelial_immune_activation,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CAV1,-2.58861234143815,1.4597959028940772,-5.449812311110541,0.2725876282342412,3.74921675583739,66.76839038516142,True,0.8313050229360137,0.4598584192390821,-0.4978270635583488,2.1604371094303763,4,6,0.90867867065347,3.33169072729688,0.000863201274059,0.0138835216496169,Structural_ECM_remodeling,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
CAV2,-1.6662468011280382,0.6617471958974306,-2.963271305087002,-0.3692222971690744,0.18119286322198727,13.392668058847462,True,0.20215300957845428,0.41922078162176835,-1.0668933074163924,1.471199326573301,4,6,,,,,Structural_ECM_remodeling,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
COL4A1,0.6267893796114615,0.5103369201204087,-0.37347098382453947,1.6270497430474626,0.0,0.0,False,0.43588619500647646,0.4285414651039932,-0.847190144243648,1.718962534256601,4,6,,,,,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
COL4A2,0.7513838145542784,0.5170230455477006,-0.2619813547192149,1.7647489838277717,0.0,0.0,False,0.19516407731232346,0.41904723023373985,-1.0736195290074992,1.4639476836321463,4,6,,,,,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
EHD2,-0.3570680647508444,0.48245463183998927,-1.3026791431572233,0.5885430136555345,0.0,0.0,True,-0.4255592446891064,0.42798545858793935,-1.7078029569807394,0.8566844676025267,4,6,-0.727302472897336,-3.54369408213676,0.0003945627810612,0.0081148944444978,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
FN1,1.8466970990042377,0.8762604604009547,0.12922659661836655,3.5641676013901087,1.0394165807527673,45.18826655324333,True,0.6055947315071221,0.43958822784349066,-0.6939136894288692,1.9051031524431132,4,6,,,,,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
LAMA4,-0.1404717811837139,0.9526474742900779,-2.0076608307922665,1.7267172684248386,1.8201119679718,66.86262095533755,False,1.1056924696474593,0.4930764065063603,-0.27060776040223233,2.481992699697151,4,6,,,,,Structural_ECM_remodeling,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
LAMB1,1.8055849723087698,0.9390866024272525,-0.035024768448645105,3.6461947130661847,1.349341604129315,51.60863170193648,True,0.06197376647801139,0.4169067133998836,-1.2035651820324613,1.327512714988484,4,6,,,,,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
MMP2,0.39454066453754255,0.492631031290944,-0.5710161567927077,1.3600974858677928,0.0,0.0,False,0.4425798978024981,0.42890897703784603,-0.8410464988521471,1.7262062944571435,4,6,,,,,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
MMP9,0.37813393426327124,0.4866757720201423,-0.5757505788962076,1.33201844742275,0.0,0.0,True,1.1807686214865383,0.5038050752596179,-0.21042423973628588,2.571961482709362,4,6,,,,,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
PLVAP,0.8430832602812696,0.6066984645772231,-0.3460457302900878,2.032212250852627,0.23727129842651198,21.14042188948589,False,-0.7468068754919254,0.45152419849679243,-2.063839662078986,0.5702259110951352,4,6,,,,,Structural_ECM_remodeling,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
SPARC,-0.7647952162842196,1.481629720633516,-3.6687894687259113,2.1391990361574718,5.006415073594425,78.56882081540599,False,0.8661727390572899,0.46355761753454217,-0.46829454923444536,2.200640027349025,4,6,0.915895893469475,3.03172805777502,0.0024315815944964,0.0268531184783517,Structural_ECM_remodeling,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
TIMP1,3.4244646418536,0.9690289571957867,1.525167885749858,5.323761397957342,0.4335828554847447,13.839442892290874,True,1.860727001403164,0.6330607275260923,0.30125077815888646,3.420203224647442,4,6,2.61788759657834,3.41528542354653,0.0006371520819666,0.0115804385559593,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
TIMP2,0.04674711594373176,0.48438937031037105,-0.9026560498645956,0.996150281752059,0.0,0.0,False,-0.14916709355997324,0.4180573430292373,-1.416451232567922,1.1181170454479756,4,6,,,,,Structural_ECM_remodeling,True,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
VIM,1.2377142730687836,0.670144051377439,-0.07576806763099686,2.551196613768564,0.3754343127159593,27.47118388606824,True,1.487382990673113,0.5549359267256475,0.0273001655877525,2.9474658157584734,4,6,1.74130021536786,3.98878949032855,6.64113224658971e-05,0.0024535964954673,Structural_ECM_remodeling,True,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
A2M,0.219710018487198,0.4955395899749505,-0.7515475778637051,1.190967614838101,0.0,0.0,False,0.7418094533872006,0.45105924573758027,-0.5745450575350997,2.058163964309501,4,6,0.727048774849923,2.31727323416121,0.0204888523807844,0.107524142659488,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
A3GALT2,-0.581190655208727,0.4951844550406185,-1.5517521870883393,0.3893708766708852,0.0,0.0,True,-0.17450099943289588,0.41856982909185914,-1.4425616665302103,1.0935596676644186,4,6,,,,,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
A4GALT,0.5105556151189915,0.7314670372788322,-0.9231197779475196,1.9442310081855028,0.6989821210479423,43.62094375024476,False,-0.41528743913306815,0.42744564523552303,-1.6967222563347801,0.866147378068644,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AAAS,0.36172096041612384,0.5572024707467691,-0.7303958822475436,1.4538378030797912,0.15440857166889577,16.418910486514847,False,-0.5034854484308984,0.4325102664655206,-1.7924894979411954,0.7855186010793986,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AACS,0.9555542431074524,0.7301068020682033,-0.4754550889462261,2.386563575161131,0.6273337801141596,38.855382260888945,False,-0.15870788629669658,0.4182409287399645,-1.4262702523550488,1.1088544797616555,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AAGAB,-0.4014426779081838,0.6212782190994635,-1.619147987343132,0.8162626315267646,0.3685331755984535,31.770783751864577,False,-0.6686562477613032,0.44461049027105576,-1.9755669789993966,0.6382544834767903,4,6,,,,,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AAK1,-0.8960601967890512,0.8970833777703433,-2.654343617218924,0.8622232236408215,1.439834676498351,60.09047133840449,False,0.4561817299034147,0.4296730273352712,-0.8285874718644273,1.7409509316712568,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AAMP,-0.4715051880399076,0.49965184683285757,-1.4508228078323084,0.5078124317524932,0.0,0.0,False,1.0574431445154118,0.48655329190933183,-0.30972294861259186,2.4246092376434154,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AARD,-1.3508891242987338,0.5558790678728122,-2.4404120973294456,-0.2613661512680219,0.0,0.0,True,-0.286401783156575,0.4217932905038708,-1.559335836750739,0.986532270437589,4,6,,,,,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AARS,0.10722125805831594,0.48668836349702177,-0.8466879343958467,1.0611304505124786,0.0,0.0,False,0.7708027162875399,0.4538002183814323,-0.5495453131857919,2.0911507457608716,4,6,,,,,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AARS2,-0.20034089199305366,0.49182984107601285,-1.1643273805020389,0.7636455965159314,0.0,0.0,False,0.12161554485399444,0.41759106296355003,-1.1449616645891463,1.388192754297135,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AARSD1,-0.2758476483039084,0.49076810015658534,-1.2377531246108155,0.6860578280029989,0.0,0.0,False,0.7110876047951475,0.44826951552249794,-0.6011898699910458,2.0233650795813407,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AASDH,-0.13072325601929094,0.47839429204036554,-1.0683760684184074,0.8069295563798256,0.0,0.0,False,0.30771068484309966,0.4225845332645798,-0.9664167589352728,1.5818381286214722,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AASDHPPT,0.6200446988546432,0.7343113203674891,-0.8192054890656354,2.059294886774922,0.7457872261569455,45.9834928726397,False,0.579495276620896,0.43765509014328724,-0.7171526302121239,1.876143183453916,4,6,,,,,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AASS,-0.527505969504733,0.4920696647724601,-1.491962512458755,0.4369505734492888,0.0,0.0,True,0.8296309343324445,0.45968463461674947,-0.49924998295988565,2.1585118516247745,4,6,0.891690537039725,3.75828467487475,0.0001710821745728,0.0045030955794292,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AATF,0.5906467792482006,0.5785470257809426,-0.5433053912824468,1.724598949778848,0.18268321481963165,17.713106057680246,False,0.5299953459110096,0.43422260833462484,-0.761557816826899,1.8215485086489183,4,6,0.467526583485714,2.11811155256441,0.0341656213725889,0.148279672424393,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
AATK,0.4260993028222538,0.5376386093740679,-0.6276723715509194,1.4798709771954268,0.09823612464773503,11.293321359333925,False,-2.2755567882444567,0.7403015851995058,-3.961956079546022,-0.5891574969428914,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABAT,-0.1369886079257525,0.655260571865721,-1.4212993287825655,1.1473221129310605,0.4988980008973713,38.70156337277228,False,0.32828514459104824,0.4234023626766145,-0.9470746150291469,1.6036449042112433,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCA1,1.0842447792629466,0.7666875367883011,-0.4184627928421236,2.5869523513680166,0.8046266326712499,45.62788369388602,True,0.6127185725832637,0.44013066974094617,-0.6875913831106927,1.91302852827722,4,6,,,,,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCA2,0.292646807610279,0.484926148418451,-0.657808443289885,1.2431020585104429,0.0,0.0,False,-0.7237448751725722,0.44940458193782684,-2.0376827131133006,0.590192962768156,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCA3,0.451993645447882,0.4880293443615931,-0.5045438695008405,1.4085311603966044,0.0,0.0,True,-0.5487356577979435,0.4354860930503506,-1.842166512177963,0.7446951965820757,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCA4,-0.4737074958366273,0.49039082098197034,-1.4348735049612893,0.4874585132880346,0.0,0.0,True,0.1740786161380686,0.41856062695395074,-1.0939681119071945,1.4421253441833315,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCA5,-0.30395577320494416,0.4801238439625762,-1.2449985073715935,0.6370869609617051,0.0,0.0,True,-0.9685358775209335,0.47529552579449447,-2.3197928078980286,0.38272105285616165,4,6,-0.674089350787203,-4.21731686468637,2.47226458964229e-05,0.0011575211166251,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCA7,-0.7756247736459496,0.7565532896375847,-2.2584692213356155,0.7072196740437164,0.8297942993569588,48.33442913518891,True,-0.8416630844392219,0.46094146339840075,-2.1723594156099724,0.4890332467315288,4,6,,,,,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCA9,-1.2059405475269653,1.3759063214003293,-3.9027169374716104,1.49083584241768,3.9147246256546926,75.20671063008731,False,0.4760935853279128,0.43083323554106584,-0.8104090216086447,1.7625961922644704,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCB10,-0.9593817518542164,0.6849759621106039,-2.3019346375909997,0.38317113388256707,0.5091175184122172,36.02699544463738,True,-0.6948173309481805,0.4468398618782888,-2.0050005293565687,0.6153658674602077,4,6,-0.62280209873004,-2.27524414815097,0.0228912878389994,0.114682191540549,,False,True,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCB4,-0.9805334834893275,0.5315103743081315,-2.0222938171332654,0.06122685015461038,0.0,0.0,True,0.32707153388857385,0.4233526534341807,-0.9482133571976292,1.602356424974777,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCB6,-0.16102007494238557,0.4780325011783834,-1.097963777252017,0.775923627367246,0.0,0.0,False,0.49192326214806037,0.431790947656816,-0.796008453634428,1.7798549779305488,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCB7,-0.008578461192356652,0.8539333306604456,-1.6822877892868302,1.6651308669021168,1.3229515434105916,60.511318104074505,False,0.6399302636556108,0.4422610880630629,-0.6635229176681614,1.943383444979383,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCB8,0.8118559520005608,0.7322466408998758,-0.6233474641631958,2.2470593681643174,0.6954048294640118,43.19249141969219,False,-0.4243179804263415,0.4279195259487348,-1.7064629218758873,0.8578269610232043,4,6,,,,,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCB9,0.025303965968841415,0.4805301715558169,-0.9165351702805596,0.9671431022182425,0.0,0.0,False,-1.560220461822004,0.5688096597596709,-3.038442092340497,-0.08199883130351115,4,6,-1.35863551776694,-2.77386437730828,0.0055394766377427,0.0457036063522209,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCC1,3.1601794182093674,1.061809066153351,1.0790336485487995,5.241325187869935,1.2146807235459949,35.58935600334117,True,-0.7406404560445558,0.4509509344872846,-2.056836911717626,0.5755559996285146,4,6,-1.6344386691368,-4.07936408634407,4.5159062909522e-05,0.0018063625163808,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
ABCC10,0.041026238345300566,0.47660292696359574,-0.893115498503347,0.9751679751939483,0.0,0.0,False,-0.15582441981268624,0.4181842447797892,-1.4233008869496655,1.1116520473242932,4,6,-1.29215705079733,-2.22639580258241,0.0259876813926756,0.124438406073456,,False,False,GSE279183 reconstructed donor-level EC: chronic active MS vs control,gene-level source EC contrast; not the local VI-vs-PPWM spatial contrast
